Name	Phone	Site	Adresse	Activité
 Bernard Trucks 	 04 74 45 82 82 	 www.renault-trucks.net/bernard-trucks-bourg/infos-pratiques_363_1.html?lang=fr ,  www.autobernard.com 	 506 rte Strasbourg, 01440 VIRIAT	 garages poids lourds 
 THERMO KING Froid & Services Bresse 	 03 85 51 94 90 	 www.facebook.com/thermokingfroidetservices ,  www.froid-services.fr 	 135 all Teppes, 01380 SAINT CYR SUR MENTHON	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Solumat 			 Zone Industrielle Les Bergeries 180 imp Cypres, 01150 SAINT VULBAS	 location de camions, de véhicules industriels 
 Cyril'Locauto 	04 74 75 75 16 , 03 84 33 14 42 		 138 r Croix Chalon, 01460 BRION	 location de camions, de véhicules industriels 
 Sud Est Negoce 	 04 74 61 07 51 		 lot Liattes, 01800 PÉROUGES	 garages poids lourds 
 Sud Est Negoce 	 04 74 61 07 51 		 lot Liattes, 01800 PÉROUGES	 garages poids lourds 
 Cyril'Locauto 	04 74 75 75 16 , 03 84 33 14 42 		 138 r Croix Chalon, 01460 BRION	 location de camions, de véhicules industriels 
 Lanz Location 	 04 72 08 69 69 		 78 all Louis Lumière, 01600 MASSIEUX	 location de camions, de véhicules industriels 
 Nardeau SAS 	04 74 38 09 27 , 04 74 38 09 47 	 www.adoc-nardeau.com/ ,  nardeau.site-solocal.com 	 142 Le Plâtre, 01500 AMBRONAY	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Locatrans V.I 	 04 74 45 82 80 		 519 av Parme, 01000 BOURG EN BRESSE	 location de camions, de véhicules industriels 
 Renault Trucks - Techniques Poids Lourds TPL 	 04 79 81 16 49 		 zone artisanale Penaye, 01300 CHAZEY BONS	 agents, concessionnaires, succursales de camions, de véhicules industriels,  garages poids lourds 
 Renault Trucks - Techniques Poids Lourds TPL 	 04 79 81 16 49 		 za Penaye, 01300 CHAZEY BONS	 agents, concessionnaires, succursales de camions, de véhicules industriels,  garages poids lourds 
 S.B.C 	04 50 48 68 16 		 49 av Saint Exupéry, 01200 BELLEGARDE SUR VALSERINE	 garages poids lourds 
 Europ'Instal 	 06 31 63 50 07 		 120 Grande Rue, 01290 PONT DE VEYLE	 garages poids lourds 
 Clovis Location Locatrans VI Franchisé indépendant 	 04 74 45 82 80 	 www.facebook.com/clovislocation ,  www.clovislocation.com/fr/agence/nantua_age203_e514.htm ,  www.clovislocation.com 	 zone artisanale Pellants, 01430 SAINT MARTIN DU FRESNE	 location de camions, de véhicules industriels 
 V-i-m-s . Véhicules Industriels Mancuso Salvatore 	 04 74 34 01 64 		 Coutelieu, 01500 AMBRONAY	 garages poids lourds 
 Meca Poids Lourd 	 06 52 28 78 53 		 88 chem Lône, 01700 MIRIBEL	 garages poids lourds 
 Lamberet 	 04 74 50 90 20 		 445 av Gare, 01540 VONNAS	 garages poids lourds 
  Garage R.M.A Domingo 	 04 74 77 96 96 		 chem Caserne, 01100 BELLIGNAT	 garages poids lourds 
 Duclos Stéphane 	 04 74 32 20 48 		 les Creuzes, 01400 ROMANS	 location de camions, de véhicules industriels 
 DSR 	 04 74 75 67 73 		 1096 rte Grands Moulins, 01430 MAILLAT	 garages poids lourds 
 Tplt 	 04 74 30 88 54 		 Za r Serves, 01340 MONTREVEL EN BRESSE	 location de camions, de véhicules industriels 
 Marthoud ETS 	 04 74 34 96 75 		 rte Genève, 01150 LEYMENT	 location de camions, de véhicules industriels 
 CO Froid 01 	 04 74 23 34 51 		 6 r Barthélemy Thimonnier, 01000 BOURG EN BRESSE	 garages poids lourds 
 SOTRAMEK 	 06 65 55 38 80 		 63 r Castellion, 01100 OYONNAX	 location de camions, de véhicules industriels 
 France Poids Lourds 01 	 04 74 36 59 89 		 250 r Charles de Gaulle, 01500 CHÂTEAU GAILLARD	 garages poids lourds 
 Marthoud ETS 	 04 74 34 96 75 		 rte Genève, 01150 LEYMENT	 location de camions, de véhicules industriels 
 Renault Trucks Centre d'Essais 	 04 72 25 95 34 		 rte Chanes, 01360 BÉLIGNEUX	 construction, importation de véhicules industriels 
 CO Froid 01 	 04 74 23 34 51 		 6 r Barthélemy Thimonnier, 01000 BOURG EN BRESSE	 garages poids lourds 
 DSR 	 04 74 75 67 73 		 1096 rte Grands Moulins, 01430 MAILLAT	 garages poids lourds 
 V-i-m-s . (Véhicules Industriels Mancuso Salvatore) 	 04 74 34 01 64 		 Coutelieu, 01500 AMBRONAY	 garages poids lourds 
 SOTRAMEK 	 06 65 55 38 80 		 63 r Castellion, 01100 OYONNAX	 location de camions, de véhicules industriels 
 S.B.C (SARL) 	04 74 76 02 55 		 5 r des Narcisses, 01460 PORT	 garages poids lourds 
 ENC Européenne de Négoce et de Conseil 	 04 78 55 69 85 		 Rhône Alpes 169 r Jacquetières, 01700 BEYNOST	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Tplt 	 04 74 30 88 54 		 Za r Serves, 01340 MONTREVEL EN BRESSE	 location de camions, de véhicules industriels 
 Europ'Instal 	 06 31 63 50 07 		 120 Grande Rue, 01290 PONT DE VEYLE	 garages poids lourds 
 Lamberet 	 04 74 50 90 20 		 445 av Gare, 01540 VONNAS	 garages poids lourds 
 Iveco Calade Poids Lourds Agent officiel 	04 74 68 67 75 , 04 74 60 68 60 		 22 r Alexandre Richetta, 69400 VILLEFRANCHE SUR SAÔNE	 garages poids lourds 
 Carrosserie Capelli SAS 	03 85 27 09 50 , 03 85 27 09 51 		 zi Bois Bernoux, 71290 CUISERY	 agents, concessionnaires, succursales de camions, de véhicules industriels,  garages poids lourds 
 MG Attelage (Marcel Grison) 	04 78 33 11 16 , 04 78 33 44 46 		 31 av Béranger, 69130 ECULLY	 pièces pour camions, autocars 
 Mercedes-Benz SVI 74 Groupe Huillier 	04 50 275 700 , 04 50 275 710 		 5 rte Montava, Z I Argonay, 74370 ARGONAY	 garages poids lourds 
 Mercedes-Benz Occasions Used 1 SVI 74 Groupe Huillier Distributeur 	04 50 275 700 , 04 50 275 710 		 5 rte Montava, Z I Argonay, 74370 ARGONAY	 garages poids lourds 
 PALFINGER Frédéric PIN Concessionnaire Exclusif 	04 78 90 13 14 , 04 78 90 12 67 	 www.facebook.com/PalfingerFrance?fref=ts ,  palfinger.fr ,  www.groupe-frederic-pin.fr/frederic-pin/ 	 15 r Champ Dolin, 69800 SAINT PRIEST	 garages poids lourds,  agents, concessionnaires, succursales de camions, de véhicules industriels 
 Group Prin et Fils 	03 85 44 17 31 		 ZA, 71240 VARENNES LE GRAND	 location de camions, de véhicules industriels 
 PL Maintenance Poids Lourds Maintenance 	04 80 97 00 30 , 06 34 30 45 90 , 04 50 32 67 98 	 www.pl-maintenance.com/ ,  poidslourdsmaintenance.site-solocal.com 	 Zone Industrielle Pont Noir 39 rte Véry, 74330 CHOISY	 garages poids lourds,  location de camions, de véhicules industriels 
 Solaize Poids Lourds 	04 78 46 43 79 , 04 78 46 32 54 	 https://www.solaize-poids-lourds.fr/ ,  solaizepoidslourds.site-solocal.com 	 Za Des Planchettes 1 r Hélène Boucher, 42110 FEURS	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 UNIMOG Cassani Dubois Concessionnaire 	03 81 39 82 00 		 12 r Donnet Zedel, 25300 PONTARLIER	 garages poids lourds 
 Garage Cemavi 	03 23 75 67 67 , 03 23 75 67 68 	 www.garage-cemavi-poids-lourds.fr ,  www.tvi.fr/adherent.html?code=2021 	 8 r Gustave Eiffel, 02200 VILLENEUVE SAINT GERMAIN	 garages poids lourds,  agents, concessionnaires, succursales de camions, de véhicules industriels 
 Aisne Diesel Services 	 03 23 67 56 98 	 www.top-truck.fr/distributeur/distributeur-aisne-02/aisne-diesel-services-point-de-vente-st-quentin-8 ,  www.aisnedieselservices.fr 	 r Antoine Parmentier, 02100 SAINT QUENTIN	 garages poids lourds 
 Leleu V I 	 09 67 36 98 78 		 Zone Industrielle Le Royeux r Gustave Eiffel, 02430 GAUCHY	 agents, concessionnaires, succursales de camions, de véhicules industriels,  garages poids lourds 
 Leleu Et Cie (SA) 	 03 23 08 58 58 		 zi Royeux, 02430 GAUCHY	 agents, concessionnaires, succursales de camions, de véhicules industriels,  garages poids lourds 
 Iveco Leleu V.I. (SAS) Distributeur 	03 23 08 58 58 , 03 23 68 33 40 		 zi Royeux St Quentin, 02430 GAUCHY	 garages poids lourds 
 Leleu V I 	 03 23 68 33 40 		 zi Royeux, 02430 GAUCHY	 agents, concessionnaires, succursales de camions, de véhicules industriels,  garages poids lourds 
 Mercedes-Benz Gorrias Laon 	 03 23 28 60 00 		 r Condillac, 02000 LAON	 garages poids lourds 
 Sovim SA 	 03 23 50 32 32 		 Place Du 8 Mai rte Chauny, 02430 GAUCHY	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Mercedes-Benz Gorrias Saint-Quentin 	 03 23 06 60 00 		 Zac Bois De La Chocque 9 r Archimède, 02100 SAINT QUENTIN	 garages poids lourds 
 Volvo Truck Center Nord Picardie 	 03 23 62 79 89 		 zi Rouvroy, 02100 SAINT QUENTIN	 garages poids lourds 
 Aisne Diesel Services 	 03 23 73 00 13 	 aisnedieselservices.fr ,  www.top-truck.fr/distributeur/distributeur-aisne-0 	 r St Exupéry, 02200 VILLENEUVE SAINT GERMAIN	 garages poids lourds 
 La Haubette Poids Lourds Scania Nord 	03 23 27 13 40 , 03 23 27 13 41 	 https://www.facebook.com/ScaniaenFrance/?ref=page_internal ,  www.scania.com/fr 	 7 r Voltaire, 02000 LAON	 garages poids lourds 
 Munier SAS 	03 23 52 56 04 , 03 23 52 95 77 		 14 r Village, 02300 BEAUMONT EN BEINE	 garages poids lourds 
 Electro Diesel Service 	 03 23 06 62 00 		 Morcourt zi Rouvroy, 02100 MORCOURT	 garages poids lourds 
 Iveco Garage Castel Poids Lourds Agent 	03 23 83 10 24 , 06 83 73 12 75 , 03 23 83 34 98 		 r Champunant, 02400 CHÂTEAU THIERRY	 garages poids lourds 
 Daf Garage Mathieu Poids Lourds Concessionnaire-services 	 03 23 55 21 98 		 zone artisanale Plan de la Croix Rouge, 02210 HARTENNES ET TAUX	 garages poids lourds 
 Electro Diesel Service 	 03 23 06 62 00 		 Morcourt zi Rouvroy, 02100 MORCOURT	 garages poids lourds 
 Aisne Diesel Services 	 03 23 98 60 70 		 Zone Industrielle De L Alouette r Hirson, 02830 SAINT MICHEL	 garages poids lourds 
 Eurobenne Cuipa SA 	 03 23 09 90 90 	 www.eurobenne.fr ,  WWW.EUROBENNE.FR 	 r Commdt Jacques-Y Cousteau, 02100 SAINT QUENTIN	 agents, concessionnaires, succursales de camions, de véhicules industriels 
 Electro Diesel Service (SARL) 	 03 23 20 20 30 		 Lieu Dit Champs Du Roy r Georges Mandel, 02000 LAON	 garages poids lourds 
 Electro Diesel Service (SARL) 	 03 23 20 20 30 		 Lieu Dit Champs Du Roy r Georges Mandel, 02000 LAON	 garages poids lourds 
 Guillummette Ets ETABLISSEMENTS GUILLUMMETTE 	 03 23 75 65 00 		 Zone Industrielle r Moines, 02200 VILLENEUVE SAINT GERMAIN	 garages poids lourds 
 Electro Diesel Service SARL 	 03 23 20 20 30 		 Lieu Dit Champs Du Roy r Georges Mandel, 02000 LAON	 garages poids lourds 
 M.D. Services 	 06 29 84 05 45 		 5 chem Ponceau, 02200 SOISSONS	 garages poids lourds 
 FRAIKIN France 	03 23 62 66 68 , 03 23 64 80 76 		 rte Nationale, 02760 HOLNON	 location de camions, de véhicules industriels 
 Blesmes Poids Lourds SARL 	 03 23 83 57 70 		 40 rte Nationale, 02400 BLESMES	 garages poids lourds 
 Froid Et Applications 	 03 23 39 14 40 		 26 rte Soissons, 02300 CHAUNY	 garages poids lourds 
 Clovis Location Sovim Franchisé indépendant 	 03 23 50 32 32 	 www.facebook.com/clovislocation ,  www.clovislocation.com/fr/agence/saint-quentin_age90_dc8a.htm ,  www.clovislocation.com 	 Che d 8 rte Chauny, 02430 GAUCHY	 location de camions, de véhicules industriels 
  Petit Forestier Location 	 01 41 52 52 52 	 https://www.facebook.com/PetitForestier/ ,  https://www.petitforestier.com/fr-fr 	 Zac Du Parc Des Autoroutes 37 r Alain, 02100 SAINT QUENTIN	 location de camions, de véhicules industriels 
 Beltrami Transports 	 03 23 22 95 87 		 2 r Eglise, 02250 BOSMONT SUR SERRE	 location de camions, de véhicules industriels 
 Clovis Location 	 03 22 33 64 08 	 www.facebook.com/clovislocation/ ,  www.clovislocation.com/fr/agence/saint-quentin_age90_dc8a.htm 	 rte Chauny, 02430 GAUCHY	 location de camions, de véhicules industriels 
 Clovis Location 	 03 23 27 17 27 	 www.facebook.com/clovislocation ,  www.clovislocation.com/fr/agence/laon_age160_45d3.htm ,  www.clovislocation.com 	 Zone Industrielle 21 r Ampère, 02000 LAON	 location de camions, de véhicules industriels 
